# SCOWL/ESDB word -> frequency-size-bucket tier (0=most common; see
# build_lexicon.py's docstring for what this is and how to regenerate
# it, and ACKNOWLEDGEMENTS.md for the source and license). Trimmed to
# just the words already present in Source/Data/latin-words.txt's
# source list -- this is a rank annotation, not a word-list source.
acclimate	0
acclimation	1
acclimatization	2
acclimatize	0
acclimatizer	5
acclivitous	4
acclivity	3
accolade	0
accoladed	5
accommodate	0
accommodating	0
accommodatingly	3
accommodation	0
accommodational	5
accommodative	4
accommodator	5
accompaniment	0
accompanist	0
accompany	0
accompanyist	4
accomplice	0
accomplish	0
accomplishable	5
accomplished	0
accomplisher	4
accomplishment	0
accord	0
accordance	0
accordant	3
accordantly	5
accorder	5
according	0
accordingly	0
accordion	0
accordionist	3
accost	0
accosted	0
accouchement	4
accoucheur	4
account	0
accountability	0
accountable	0
accountableness	4
accountably	4
accountancy	0
accountant	0
accountantship	5
accounting	0
accouter	3
accouterment	4
accredit	2
accreditation	1
accredited	1
accrescent	4
accrete	4
accretion	2
accretionary	4
accretive	4
accrual	2
accrue	0
accruement	5
acculturate	3
acculturation	2
accumbency	5
accumbent	4
accumulable	5
accumulate	0
accumulation	0
accumulative	2
accumulatively	5
accumulator	2
accuracy	0
accurate	0
accurately	0
accurateness	2
accursed	2
accursedly	4
accursedness	3
accusal	4
accusation	0
accusatival	5
accusative	2
accusatively	5
accusatorial	4
accusatorially	5
accusatory	2
accuse	0
accused	0
accuser	0
accusingly	1
accustom	0
accustomed	0
accustomedness	5
ace	0
acedia	4
acentric	4
acephalous	4
acerate	4
acerb	4
acerbate	3
acerbic	1
acerbity	2
acerose	4
acervate	4
acervately	5
acervulus	5
acescent	4
acetabular	5
acetabulum	4
acetal	4
acetaldehyde	4
acetamide	4
acetanilid	5
acetanilide	4
acetate	2
acetated	5
acetic	2
acetification	5
acetifier	5
acetify	4
acetin	5
acetone	2
acetonic	3
acetonitrile	5
acetose	5
acetous	4
acetum	4
acetyl	3
acetylate	4
acetylation	5
acetylcholine	4
acetylene	2
acetylenic	5
acetylic	5
ach	4
achalasia	5
ache	0
achene	3
achenial	5
achievable	0
achieve	0
achievement	0
achiever	1
aching	0
achingly	3
achira	5
achlamydeous	4
achlorhydria	4
acholia	5
achondrite	4
achondritic	5
achondroplasia	4
achondroplastic	5
achromat	4
achromatic	2
achromatically	4
achromaticity	4
achromatin	4
achromatism	4
achromatize	4
achromatous	4
achromic	4
achy	1
acicula	4
acicular	4
aciculate	4
aciculated	5
aciculum	4
acid	0
acidemia	5
acider	5
acidic	1
acidifiable	5
acidification	3
acidifier	4
acidify	2
acidimeter	4
acidimetric	5
acidimetry	4
acidity	0
acidly	2
acidness	4
acidophile	5
acidophilic	5
acidosis	3
acidotic	4
acidulate	4
acidulent	4
acidulous	2
acierate	4
aciform	5
acinaciform	4
acinar	5
acinic	5
aciniform	4
acinose	5
acinous	5
acinus	4
acknowledge	0
acknowledgeable	4
acknowledged	0
acknowledgedly	5
acknowledger	5
acknowledgment	0
acmatic	5
acme	2
acmic	5
acne	0
acnode	4
acock	5
acoelomate	5
acoelous	5
acold	5
acolyte	2
aconite	2
acorn	0
acorned	5
acosmism	4
acotyledon	4
acouchi	5
acouchy	5
acoustic	0
acoustical	2
acoustically	2
acoustician	4
acoustics	0
acquaint	0
acquaintance	0
acquainted	0
acquiesce	0
acquiescence	0
acquiescent	2
acquiescently	3
acquirable	2
acquire	0
acquired	0
acquirement	2
acquirer	3
acquisition	0
acquisitive	2
acquisitively	3
acquisitiveness	2
acquisitor	5
acquit	0
acquittal	0
acquittance	4
acquitter	5
acre	0
acreage	0
acred	4
acrid	0
acridine	4
acridity	3
acridly	3
acridness	3
acriflavine	4
acrimonious	0
acrimoniously	3
acrimoniousness	3
acrimony	0
acrobat	0
acrobatic	0
acrobatically	3
acrobatics	0
acrocarpous	4
acrocephalic	5
acrocephalous	5
acrocephaly	5
acrodont	4
acrogen	4
acrolein	4
acrolith	4
acromegalic	4
acromegaly	4
acromial	5
acromion	4
acron	5
acronym	0
acronymic	4
acronymous	4
acropetal	4
acropetally	5
acrophobia	3
acropolis	3
acrosome	5
acrospire	4
across	0
acrostic	2
acrostical	5
acrostically	5
acrylate	5
acrylic	0
acrylonitrile	4
act	0
actability	5
actable	4
actin	4
actinal	4
acting	0
actinian	5
actinic	4
actinically	5
actinism	4
actinium	2
actinoid	4
actinolite	4
actinomere	5
actinometer	4
actinometric	5
actinometry	5
actinomorphic	4
actinomorphous	5
actinomorphy	5
actinomycete	4
actinomycetous	5
actinomycin	4
actinomycosis	4
actinomycotic	5
actinon	4
actinotherapy	4
actinouranium	4
actinozoan	4
action	0
actionable	2
actionably	4
actioner	4
actionless	4
activate	0
activation	1
activator	3
active	0
actively	0
activeness	3
activin	5
activism	1
activist	0
activity	0
activize	5
actomyosin	4
actor	0
actress	0
actual	0
actuality	0
actualization	1
actualize	2
actually	0
actuarial	2
actuarially	4
actuary	0
actuation	3
actuator	2
acuate	4
acuity	2
aculeate	4
aculeus	4
acumen	0
acuminate	4
acumination	5
acupressure	3
acupuncture	0
acute	0
acutely	0
acuteness	2
acyclic	4
acyl	3
acylate	5
acylation	5
acyloin	5
ad	0
adactylous	4
adage	0
adagial	5
adagio	2
adamant	0
adamantine	4
adamsite	4
adapt	0
adaptability	2
adaptable	0
adaptation	0
adaptational	4
adaptationally	5
adaptedness	5
adapter	0
adaption	3
adaptive	0
adaptively	5
adaptiveness	4
adaxial	4
add	0
addable	3
addax	4
added	0
addedly	5
addend	2
addenda	2
addendum	0
adder	2
addict	0
addicted	0
addiction	0
additament	4
addition	0
additional	0
additionally	0
additive	0
additively	5
additivity	4
additory	4
addle	2
addlebrained	4
addleheaded	5
addlepated	4
address	0
addressee	0
addresser	5
addressor	5
adduce	2
adducent	5
adducer	4
adducible	4
adduct	4
adduction	4
adductive	5
adductor	4
ade	5
ademption	4
adenectomy	4
adenine	3
adenitis	4
adenocarcinoma	3
adenoid	3
adenoidal	2
adenoma	4
adenomatous	5
adenosine	4
adenosis	5
adept	0
adeptness	2
adequacy	1
adequate	0
adequately	0
adequateness	3
adermin	4
adhere	0
adherence	0
adherent	0
adherently	5
adherer	5
adhesion	0
adhesional	5
adhesive	0
adhesively	4
adhesiveness	3
adhibit	4
adiabatic	2
adiabatically	4
adiaphorism	4
adiaphorous	4
adiathermancy	4
adieu	2
adipocere	4
adipocyte	5
adipose	2
adiposeness	5
adiposity	4
adit	4
adjacency	3
adjacent	0
adjacently	2
adjectival	1
adjectivally	2
adjective	0
adjectively	5
adjoin	0
adjoined	0
adjoining	0
adjoint	4
adjourn	0
adjournment	0
adjudge	2
adjudgment	4
adjudicate	1
adjudication	2
adjudicative	3
adjudicator	1
adjunct	0
adjunction	4
adjunctive	4
adjunctively	5
adjunctly	5
adjuration	2
adjuratory	4
adjure	2
adjurer	5
adjust	0
adjustable	0
adjustably	5
adjuster	2
adjustive	5
adjustment	0
adjutancy	4
adjutant	2
adjuvant	4
adman	2
admeasure	4
admeasurement	4
admeasurer	5
admin	3
adminicle	4
administer	0
administered	0
administrable	4
administrant	4
administrate	2
administration	0
administrative	0
administrator	0
administratrix	5
admirability	4
admirable	0
admirableness	4
admirably	0
admiral	0
admiralship	5
admiralty	2
admiration	0
admire	0
admired	0
admirer	0
admiring	0
admiringly	1
admissibility	2
admissible	0
admissibleness	4
admissibly	3
admission	0
admissive	4
admit	0
admittance	0
admitted	0
admittedly	0
admittee	5
admitter	5
admix	3
admixture	2
admonish	0
admonisher	4
admonishingly	4
admonishment	2
admonition	0
admonitorily	5
admonitory	2
adnate	4
adnation	5
adnexal	5
adnominal	5
adnoun	5
ado	0
adobe	0
adolescence	0
adolescent	0
adolescently	5
adopt	0
adoptability	5
adoptable	3
adopted	0
adoptee	3
adopter	3
adoptianism	5
adoption	0
adoptionism	5
adoptionist	5
adoptive	1
adoptively	4
adorability	5
adorable	0
adorableness	3
adorably	2
adoral	5
adoration	0
adore	0
adorer	3
adoringly	2
adorn	0
adorner	4
adornment	0
adown	4
adrenal	2
adrenalectomy	5
adrenaline	1
adrenalize	5
adrenergic	3
adrenochrome	5
adrenocortical	5
adrenolytic	5
adrift	0
adroit	0
adroitly	0
adroitness	2
adscititious	4
adscript	5
adscription	4
adsorb	3
adsorbable	4
adsorbate	4
adsorbent	3
adsorption	3
adsorptive	4
adularia	4
adulate	2
adulation	0
adulator	3
adulatory	3
adult	0
adulterant	2
adulterate	0
adulteration	0
adulterator	4
adulterer	2
adulteress	2
adulterine	4
adulterous	2
adulterously	4
adultery	0
adulthood	0
adultness	5
adumbral	4
